DateTime,Station,Code,Country,State,City,Lat_num,Long_num,Elevation,Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Wind Gust(mph),Pressure(in),Wind,Condition
2017-01-01 00:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.0,43.0,63.0,5.0,0.0,23.09,WSW,Fair
2017-01-01 01:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.0,43.0,63.0,0.0,0.0,23.09,CALM,Partly Cloudy
2017-01-01 02:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.0,43.0,63.0,0.0,0.0,23.08,CALM,Mostly Cloudy
2017-01-01 03:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.0,43.0,63.0,0.0,0.0,23.07,CALM,Partly Cloudy
2017-01-01 04:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,54.0,43.0,67.0,0.0,0.0,23.07,CALM,Fair
2017-01-01 05:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,54.0,43.0,67.0,6.0,0.0,23.09,E,Fair
2017-01-01 06:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,54.0,43.0,67.0,0.0,0.0,23.09,CALM,Mostly Cloudy
2017-01-01 07:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,51.0,43.0,73.5,4.5,0.0,23.11,E,Smoke
2017-01-01 08:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,54.0,43.0,67.0,5.0,0.0,23.13,ENE,Smoke
2017-01-01 09:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,59.0,43.0,55.5,0.0,0.0,23.14,CALM,Smoke
2017-01-01 10:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,63.0,43.0,48.0,5.0,0.0,23.13,WSW,Fair
2017-01-01 11:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,66.0,42.0,41.5,6.5,0.0,23.115000000000002,E,Fair
2017-01-01 12:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,68.0,39.0,35.0,6.0,0.0,23.09,E,Fair
2017-01-01 13:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,72.0,39.0,31.0,6.0,8.5,23.06,SW,Partly Cloudy
2017-01-01 14:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,70.0,39.0,33.0,3.0,0.0,23.05,SE,Mostly Cloudy
2017-01-01 15:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,70.0,39.0,33.0,3.0,0.0,23.04,E,Mostly Cloudy
2017-01-01 16:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,68.0,41.0,37.0,11.5,0.0,23.045,E,Mostly Cloudy
2017-01-01 17:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,66.0,41.0,40.0,10.0,0.0,23.05,S,Partly Cloudy
2017-01-01 18:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,64.0,41.0,42.0,9.0,0.0,23.06,S,Partly Cloudy
2017-01-01 19:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,63.0,41.0,45.0,9.0,0.0,23.08,S,Fair
2017-01-01 20:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,61.0,41.0,48.0,7.0,0.0,23.09,ESE,Fair
2017-01-01 21:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,59.0,39.0,48.0,0.0,0.0,23.1,CALM,Fair
2017-01-01 22:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,57.0,39.0,51.0,0.0,0.0,23.11,CALM,Fair
2017-01-01 23:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,57.0,39.0,51.0,3.0,0.0,23.1,SE,Fair
2017-01-02 00:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.0,39.0,54.0,3.0,0.0,23.1,WNW,Fair
2017-01-02 01:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,54.0,39.0,58.0,3.0,0.0,23.1,SW,Fair
2017-01-02 02:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,52.0,39.0,62.0,3.0,0.0,23.09,S,Fair
2017-01-02 03:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,52.0,37.0,58.0,0.0,0.0,23.09,CALM,Fair
2017-01-02 04:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,52.0,39.0,62.0,0.0,0.0,23.09,CALM,Fair
2017-01-02 05:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,50.0,37.0,62.0,6.0,0.0,23.09,NE,Fair
2017-01-02 06:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,46.0,39.0,76.0,3.0,0.0,23.1,ENE,Fair
2017-01-02 07:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,50.0,39.0,66.0,5.0,0.0,23.12,ENE,Mostly Cloudy
2017-01-02 08:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.5,39.0,54.5,2.0,0.0,23.134999999999998,ENE,Mostly Cloudy
2017-01-02 09:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,55.5,39.0,54.5,8.0,0.0,23.15,E,Fair
2017-01-02 10:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,62.0,39.0,43.5,3.5,0.0,23.15,E,Fair
2017-01-02 11:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,66.0,35.5,32.5,3.0,0.0,23.134999999999998,ESE,Fair
2017-01-02 12:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,71.0,34.0,26.0,3.5,0.0,23.11,NE,Fair
2017-01-02 13:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,72.0,27.0,19.0,5.0,0.0,23.09,SW,Fair
2017-01-02 14:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,75.0,20.5,12.5,7.0,0.0,23.064999999999998,NNE,Fair
2017-01-02 15:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,75.0,21.0,13.0,5.0,0.0,23.05,W,Partly Cloudy
2017-01-02 16:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,75.0,19.0,12.0,5.0,0.0,23.05,WSW,Partly Cloudy
2017-01-02 17:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,73.0,19.0,13.0,5.0,0.0,23.06,WNW,Partly Cloudy
2017-01-02 18:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,72.0,21.0,15.0,5.0,0.0,23.06,NNE,Fair
2017-01-02 19:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,68.0,19.0,16.0,5.0,0.0,23.09,E,Fair
2017-01-02 20:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,66.0,27.0,23.0,5.0,0.0,23.11,N,Fair
2017-01-02 21:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,63.0,27.0,26.0,7.0,0.0,23.12,WNW,Partly Cloudy
2017-01-02 22:00:00,MMMX,MEX,Mexico,Mexico City,Mexico city,19.4167,-99.0833,2238.0,61.0,27.0,27.0,7.0,0.0,23.12,NW,Partly Cloudy
