ICAO,IATA,COUNTRY,STATE,CITY,CITY_COMPLETE,SYNOP,LAT,LAT_NUM,LONG,LONG_NUM,ELEV,STATUS,Registered
MMAA,ACA,Mexico,Guerrero,ACAPULCO,ACAPULCO/G. ALVA,76805,16 50N,16.8333,099 56W,-99.9333,3,ONLINE,0
MMAS,AGU,Mexico,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,76571,21 42N,21.7,102 19W,-102.3167,1863,ONLINE,0
MMBT,HUX,Mexico,Oaxaca,BAHIAS DE HUATUL,BAHIAS DE HUATUL,NaN,15 46N,15.7667,096 16W,-96.2667,143,ONLINE,0
MMSL,NaN,Mexico,South Baja California,CABO SAN LUCAS,CABO SAN LUCAS,Nan,22 57N,22.95,109 56W,-109.9333,140,ONLINE,0
MMCP,CPE,Mexico,Campeche,CAMPECHE,CAMPECHE/IGNACIO,76695,19 49N,19.8167,090 30W,-90.5,5,ONLINE,0
MMUN,CUN,Mexico,Quintana Roo,CANCUN,CANCUN,76595,21 01N,21.0167,086 51W,-86.85,10,ONLINE,0
MMCM,CTM,Mexico,Quintana Roo,CHETUMAL,CHETUMAL,76750,18 30N,18.5,088 20W,-88.3333,12,ONLINE,0
MMCT,MCT,Mexico,Yucatan,CHICHENITZA,CHICHEN ITZA YU,Nan,20 38N,20.6333,088 27W,-88.45,28,OFFLINE,0
MMCU,CUU,Mexico,Chihuahua,CHIHUAHUA,CHIHUAHUA INTL A,76225,28 42N,28.7,105 58W,-105.9667,1372,ONLINE,0
MMCE,CME,Mexico,Campeche,CIUDAD DEL CARM,CIUDAD DEL CARM,NaN,18 39N,18.65,091 48W,-91.8,2,ONLINE,0
MMCS,CJS,Mexico,Chihuahua,CIUDAD JUAREZ,CIUDAD JUAREZ IN,NaN,31 37N,31.6167,106 25W,-106.4167,1171,ONLINE,0
MMCN,CEN,Mexico,Sonora,CIUDAD OBREGON,CIUDAD OBREGON,NaN,27 24N,27.4,109 50W,-109.8333,43,ONLINE,0
MMCV,CVM,Mexico,Tamaulipas,CIUDAD VICTORIA,CIUDAD VICTORIA,76491,23 43N,23.7167,098 58W,-98.9667,238,ONLINE,0
MMIA,CLQ,Mexico,Colima,COLIMA,COLIMA,76658,19 16N,19.2667,103 34W,-103.5667,723,ONLINE,0
MMCZ,CZM,Mexico,Quintana Roo,COZUMEL,COZUMEL (CIV/MIL,76648,20 31N,20.5167,086 55W,-86.9167,5,ONLINE,0
MMCB,CVJ,Mexico,Morelos,CUERNAVACA,CUERNAVACA,76726,18 50N,18.8333,099 16W,-99.2667,1560,ONLINE,0
