DateTime,Date,Station,City,State,Country,Time,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Precipitation(in),Condition
2017-01-01 05:51:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,5:51 AM,64,61,88,CALM,0,0,29.73,0.0,Fair
2017-01-01 06:42:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,6:42 AM,63,61,94,CALM,0,0,29.74,0.0,Fair
2017-01-01 07:43:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,7:43 AM,63,61,94,CALM,0,0,29.77,0.0,Fair
2017-01-01 08:42:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,8:42 AM,70,63,78,CALM,0,0,29.79,0.0,Fair
2017-01-01 09:43:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,9:43 AM,73,63,69,CALM,0,0,29.81,0.0,Fair
2017-01-01 10:43:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,10:43 AM,77,63,61,CALM,0,0,29.81,0.0,Mostly Cloudy
2017-01-01 11:40:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,11:40 AM,77,63,61,CALM,0,0,29.8,0.0,Mostly Cloudy
2017-01-01 12:40:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,12:40 PM,77,63,61,SW,7,0,29.78,0.0,Mostly Cloudy
2017-01-01 13:40:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,1:40 PM,79,63,57,SSE,6,0,29.75,0.0,Mostly Cloudy
2017-01-01 14:40:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,2:40 PM,77,64,65,SW,8,0,29.74,0.0,Mostly Cloudy
2017-01-01 15:47:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,3:47 PM,77,64,65,W,7,0,29.74,0.0,Cloudy
2017-01-01 16:53:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,4:53 PM,72,61,69,W,9,0,29.75,0.0,Cloudy
2017-01-01 17:48:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,5:48 PM,68,59,73,W,9,0,29.77,0.0,Cloudy
2017-01-01 18:44:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,6:44 PM,66,59,78,CALM,0,0,29.8,0.0,Cloudy
2017-01-01 19:43:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,7:43 PM,66,57,73,NNW,5,0,29.81,0.0,Mostly Cloudy
2017-01-01 20:44:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,8:44 PM,64,57,77,CALM,0,0,29.83,0.0,Partly Cloudy
2017-01-01 21:48:00,2017-1-1,MMCL,Culiacan,Sinaloa,Mexico,9:48 PM,63,55,77,CALM,0,0,29.83,0.0,Partly Cloudy
2017-01-10 05:56:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,5:56 AM,61,55,82,CALM,0,0,29.76,0.0,Mostly Cloudy
2017-01-10 06:46:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,6:46 AM,61,55,82,CALM,0,0,29.78,0.0,Mostly Cloudy
2017-01-10 07:50:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,7:50 AM,63,57,82,CALM,0,0,29.81,0.0,Mostly Cloudy
2017-01-10 08:43:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,8:43 AM,64,57,77,CALM,0,0,29.81,0.0,Mostly Cloudy
2017-01-10 09:40:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,9:40 AM,73,55,53,E,3,0,29.83,0.0,Mostly Cloudy
2017-01-10 10:43:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,10:43 AM,77,55,47,SE,5,0,29.82,0.0,Mostly Cloudy
2017-01-10 11:42:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,11:42 AM,81,55,42,S,7,0,29.8,0.0,Partly Cloudy
2017-01-10 12:40:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,12:40 PM,82,57,42,CALM,0,0,29.78,0.0,Mostly Cloudy
2017-01-10 13:47:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,1:47 PM,82,61,48,SSW,5,0,29.74,0.0,Mostly Cloudy
2017-01-10 14:41:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,2:41 PM,84,59,42,CALM,0,0,29.72,0.0,Partly Cloudy
2017-01-10 15:44:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,3:44 PM,84,59,42,SW,5,0,29.71,0.0,Partly Cloudy
2017-01-10 16:45:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,4:45 PM,82,63,51,S,6,0,29.7,0.0,Fair
2017-01-10 17:42:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,5:42 PM,77,63,61,CALM,0,0,29.71,0.0,Fair
2017-01-10 18:42:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,6:42 PM,72,59,64,CALM,0,0,29.73,0.0,Fair
2017-01-10 19:50:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,7:50 PM,68,61,78,CALM,0,0,29.75,0.0,Fair
2017-01-10 20:49:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,8:49 PM,66,61,83,CALM,0,0,29.77,0.0,Fair
2017-01-10 21:40:00,2017-1-10,MMCL,Culiacan,Sinaloa,Mexico,9:40 PM,64,61,88,CALM,0,0,29.77,0.0,Fair
2017-01-11 05:55:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,5:55 AM,59,55,88,CALM,0,0,29.71,0.0,Fair
2017-01-11 06:49:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,6:49 AM,59,55,88,CALM,0,0,29.72,0.0,Fair
2017-01-11 07:51:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,7:51 AM,63,54,72,NNE,6,0,29.75,0.0,Fair
2017-01-11 08:40:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,8:40 AM,68,54,60,CALM,0,0,29.75,0.0,Fair
2017-01-11 09:40:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,9:40 AM,75,52,44,CALM,0,0,29.78,0.0,Fair
2017-01-11 10:41:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,10:41 AM,79,52,39,CALM,0,0,29.77,0.0,Fair
2017-01-11 11:46:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,11:46 AM,81,57,45,CALM,0,0,29.74,0.0,Fair
2017-01-11 12:41:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,12:41 PM,82,57,42,CALM,0,0,29.71,0.0,Fair
2017-01-11 13:44:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,1:44 PM,84,57,40,WSW,5,0,29.68,0.0,Fair
2017-01-11 14:40:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,2:40 PM,86,59,40,S,7,0,29.67,0.0,Fair
2017-01-11 15:42:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,3:42 PM,82,61,48,SSW,7,0,29.67,0.0,Fair
2017-01-11 16:44:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,4:44 PM,81,59,48,SW,6,0,29.67,0.0,Fair
2017-01-11 17:43:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,5:43 PM,73,59,61,S,3,0,29.69,0.0,Fair
2017-01-11 18:45:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,6:45 PM,70,57,64,CALM,0,0,29.71,0.0,Fair
2017-01-11 19:40:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,7:40 PM,68,57,68,CALM,0,0,29.73,0.0,Fair
2017-01-11 20:42:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,8:42 PM,64,57,77,CALM,0,0,29.75,0.0,Fair
2017-01-11 21:43:00,2017-1-11,MMCL,Culiacan,Sinaloa,Mexico,9:43 PM,64,57,77,CALM,0,0,29.75,0.0,Fair
2017-01-12 05:52:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,5:52 AM,57,54,88,CALM,0,0,29.77,0.0,Fair
2017-01-12 06:42:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,6:42 AM,59,55,88,CALM,0,0,29.78,0.0,Fair
2017-01-12 07:41:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,7:41 AM,59,55,88,CALM,0,0,29.8,0.0,Fair
2017-01-12 08:43:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,8:43 AM,66,57,73,CALM,0,0,29.82,0.0,Fair
2017-01-12 09:41:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,9:41 AM,72,59,64,CALM,0,0,29.83,0.0,Fair
2017-01-12 10:41:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,10:41 AM,77,59,54,CALM,0,0,29.82,0.0,Partly Cloudy
2017-01-12 12:46:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,12:46 PM,82,59,45,SSE,6,0,29.76,0.0,Mostly Cloudy
2017-01-12 13:41:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,1:41 PM,84,59,42,SSE,6,0,29.73,0.0,Mostly Cloudy
2017-01-12 14:40:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,2:40 PM,84,54,35,SW,5,0,29.72,0.0,Mostly Cloudy
2017-01-12 15:40:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,3:40 PM,84,55,37,SW,5,0,29.7,0.0,Mostly Cloudy
2017-01-12 16:40:00,2017-1-12,MMCL,Culiacan,Sinaloa,Mexico,4:40 PM,82,54,37,SSW,6,0,29.7,0.0,Mostly Cloudy
