DateTime,Date,Station,Code,Country,State,City,Lat,Lat_num,Long,Long_num,Elevation,Time,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Precipitation(in),Condition
2025-01-29 00:42:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,12:42 AM,55,39,54,CALM,0,0.0,25.08,0.0,Fair
2025-01-29 01:42:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,1:42 AM,55,41,58,CALM,0,0.0,25.08,0.0,Fair
2025-01-29 04:58:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,4:58 AM,48,41,76,CALM,0,0.0,25.06,0.0,Fair
2025-01-29 05:54:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,5:54 AM,46,39,76,CALM,0,0.0,25.07,0.0,Fair
2025-01-29 06:45:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,6:45 AM,45,39,81,CALM,0,0.0,25.08,0.0,Fair
2025-01-29 07:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,7:40 AM,45,37,76,CALM,0,0.0,25.1,0.0,Fair
2025-01-29 08:45:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,8:45 AM,61,43,52,CALM,0,0.0,25.12,0.0,Fair
2025-01-29 09:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,9:40 AM,66,41,40,CALM,0,0.0,25.13,0.0,Fair
2025-01-29 10:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,10:40 AM,72,37,29,CALM,0,0.0,25.13,0.0,Fair
2025-01-29 11:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,11:40 AM,77,36,22,ESE,7,0.0,25.11,0.0,Fair
2025-01-29 12:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,12:40 PM,79,36,21,SW,3,0.0,25.08,0.0,Fair
2025-01-29 13:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,1:40 PM,81,34,18,N,9,0.0,25.05,0.0,Fair
2025-01-29 14:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,2:40 PM,82,34,17,WSW,3,0.0,25.03,0.0,Fair
2025-01-29 15:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,3:40 PM,82,32,16,WNW,13,0.0,25.0,0.0,Fair
2025-01-29 16:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,4:40 PM,82,30,15,WSW,14,0.0,24.99,0.0,Fair
2025-01-29 17:40:00,2025-1-29,MMGL,GDL,Mexico,Jalisco,Guadalajara,20 31N,20.5167,103 19W,-103.3167,1528,5:40 PM,81,30,16,S,8,0.0,24.99,0.0,Fair
