DateTime,Date,Station,Code,Country,State,City,Lat,Lat_num,Long,Long_num,Elevation,Time,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Precipitation(in),Condition
2017-08-08 23:42:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,11:42 PM,66,52,60,WNW,9,0,23.1,0.0,Partly Cloudy
2017-08-08 00:42:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,12:42 AM,66,50,56,WNW,8,0,23.1,0.0,Partly Cloudy
2017-08-08 01:46:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,1:46 AM,64,50,59,NW,7,0,23.09,0.0,Mostly Cloudy
2017-08-08 02:49:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,2:49 AM,64,50,59,W,6,0,23.09,0.0,Mostly Cloudy
2017-08-08 03:42:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,3:42 AM,63,50,63,WNW,5,0,23.09,0.0,Mostly Cloudy
2017-08-08 04:44:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,4:44 AM,61,54,77,E,6,0,23.09,0.0,Mostly Cloudy
2017-08-08 05:53:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,5:53 AM,59,54,82,ENE,7,0,23.09,0.0,Mostly Cloudy
2017-08-08 06:43:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,6:43 AM,61,52,72,ESE,5,0,23.09,0.0,Cloudy
2017-08-08 07:43:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,7:43 AM,63,52,68,NW,7,0,23.11,0.0,Cloudy
2017-08-08 08:42:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,8:42 AM,64,52,64,WNW,7,0,23.12,0.0,Cloudy
2017-08-08 09:44:00,2017-8-8,MMMX,MEX,Mexico,Mexico City,Mexico city,19 25N,19.4167,099 05W,-99.0833,2238,9:44 AM,66,52,60,N,5,0,23.12,0.0,Mostly Cloudy
