DateTime,Date,Station,Code,Country,State,City,Lat,Lat_num,Long,Long_num,Elevation,Time,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Precipitation(in),Condition
2021-02-21 00:53:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,12:53 AM,37,23,56,CALM,0,0,22.2,0.0,Fair
2021-02-21 01:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,1:49 AM,39,21,49,CALM,0,0,22.19,0.0,Fair
2021-02-21 02:48:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,2:48 AM,36,19,52,CALM,0,0,22.18,0.0,Fair
2021-02-21 03:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,3:49 AM,34,19,56,CALM,0,0,22.17,0.0,Fair
2021-02-21 04:46:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,4:46 AM,34,21,60,CALM,0,0,22.17,0.0,Fair
2021-02-21 05:47:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,5:47 AM,32,27,80,CALM,0,0,22.18,0.0,Fair
2021-02-21 06:48:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,6:48 AM,28,21,74,CALM,0,0,22.19,0.0,Fair
2021-02-21 07:48:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,7:48 AM,32,28,87,CALM,0,0,22.21,0.0,Fair
2021-02-21 08:47:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,8:47 AM,46,34,62,ESE,3,0,22.21,0.0,Fair
2021-02-21 09:47:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,9:47 AM,61,30,31,CALM,0,0,22.21,0.0,Fair
2021-02-21 10:50:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,10:50 AM,66,32,28,WNW,3,0,22.21,0.0,Fair
2021-02-21 11:47:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,11:47 AM,72,21,15,SW,3,0,22.19,0.0,Fair
2021-02-21 12:48:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,12:48 PM,77,19,12,WNW,8,0,22.16,0.0,Fair
2021-02-21 13:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,1:49 PM,79,16,9,SW,9,0,22.14,0.0,Fair
2021-02-21 14:47:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,2:47 PM,82,16,8,SSE,12,0,22.11,0.0,Fair
2021-02-21 15:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,3:49 PM,82,18,9,WSW,8,0,22.09,0.0,Fair
2021-02-21 16:48:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,4:48 PM,73,32,22,SSE,17,0,22.08,0.0,Fair
2021-02-21 17:50:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,5:50 PM,68,34,28,S,12,0,22.11,0.0,Partly Cloudy
2021-02-21 18:47:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,6:47 PM,64,36,34,S,8,0,22.13,0.0,Fair
2021-02-21 19:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,7:49 PM,59,34,39,NW,7,0,22.15,0.0,Partly Cloudy
2021-02-21 20:48:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,8:48 PM,54,32,44,NNE,6,0,22.17,0.0,Fair
2021-02-21 21:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,9:49 PM,52,34,50,NNW,9,0,22.18,0.0,Fair
2021-02-21 22:50:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,10:50 PM,48,36,62,N,8,0,22.18,0.0,Partly Cloudy
2021-02-21 23:49:00,2021-2-21,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,11:49 PM,46,34,62,NNE,5,0,22.18,0.0,Partly Cloudy
2022-08-13 23:43:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,11:43 PM,55,54,94,CALM,0,0,22.21,0.0,Mostly Cloudy
2022-08-13 00:45:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,12:45 AM,55,52,88,CALM,0,0,22.21,0.0,Mostly Cloudy
2022-08-13 01:43:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,1:43 AM,54,52,94,NE,3,0,22.19,0.0,Mostly Cloudy
2022-08-13 02:44:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,2:44 AM,52,52,100,CALM,0,0,22.18,0.0,Mostly Cloudy
2022-08-13 03:44:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,3:44 AM,52,50,94,SW,3,0,22.18,0.0,Partly Cloudy
2022-08-13 04:45:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,4:45 AM,52,50,94,SE,6,0,22.18,0.0,Partly Cloudy
2022-08-13 05:46:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,5:46 AM,52,50,94,NNW,5,0,22.19,0.0,Mostly Cloudy
2022-08-13 06:08:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,6:08 AM,52,50,94,CALM,0,0,22.19,0.0,Fog
2022-08-13 06:49:00,2022-8-13,MMTO,TLC,Mexico,Mexico,Toluca,19 21N,19.35,099 34W,-99.5667,2576,6:49 AM,52,52,100,CALM,0,0,22.19,0.0,Fog
